Total paid ,Distance
36.66 ,390.0 
37.05 ,403.0
34.71 ,396.5 
32.5 ,383.5 
32.63 ,321.1 
34.45 ,391.3 
36.79 ,386.1 
37.74 ,371.8 
38.09 ,404.3 
38.09 ,392.6 
38.74 ,386.49 
39.00 ,395.2 
40.00 ,385.5 
36.21 ,372.0 
34.05 ,397.0
